word_length,word1,word2,cos_dist,edit_dist
3,men,car,1.052296982,3.0
3,men,van,0.9965237709,2.0
3,men,bay,1.003470575,3.0
3,men,low,1.053327104,3.0
3,men,ten,0.9922576837,1.0
3,men,get,0.9948231088,2.0
3,men,lee,1.0188300709,2.0
3,men,don,1.0025809185,2.0
3,men,via,0.9852629086,3.0
3,men,sir,0.9915532597,3.0
3,men,mid,1.0454675167,2.0
3,men,iii,1.0342766009,3.0
3,men,bar,0.9953422894,3.0
3,men,com,1.0100161637,3.0
3,men,our,1.0084332332,3.0
3,men,saw,0.9881862729,3.0
3,men,put,0.882911174,3.0
3,men,too,0.9689711682,3.0
3,men,far,0.9830507859,3.0
3,men,hit,0.9845178822,3.0
3,men,tom,0.9746999397,3.0
3,men,joe,0.9806819898,3.0
3,men,met,0.9912571436,1.0
3,men,key,1.0698149441,2.0
3,men,god,1.0336281187,3.0
3,men,del,1.0159058931,2.0
3,men,era,1.0313269765,3.0
3,men,ice,0.9796512665,3.0
3,men,ran,1.0126115017,2.0
3,men,sun,0.9742873292,2.0
3,men,oil,0.9863860812,3.0
3,men,von,0.9805897063,2.0
