word_length,word1,word2,cos_dist,edit_dist
3,cup,rpm,0.9956388069,3.0
3,cup,jet,0.9928959147,3.0
3,cup,arc,0.9880127536,3.0
3,cup,bat,0.9752299395,3.0
3,cup,joy,0.9981437669,3.0
3,cup,neo,0.9959838271,3.0
3,cup,dos,0.9992621391,3.0
3,cup,uss,0.9998537165,3.0
3,cup,cox,0.995419774,2.0
3,cup,jul,0.9921199219,2.0
3,cup,ana,0.9918935299,3.0
3,cup,sum,0.9959350876,2.0
3,cup,afl,0.9400260704,3.0
3,cup,ufc,0.9974062221,3.0
3,cup,est,0.9912260758,3.0
3,cup,mhz,0.9976555236,3.0
3,cup,mlb,0.9970622221,3.0
3,cup,mad,0.985830027,3.0
3,cup,ask,0.9974106952,3.0
3,cup,def,0.9919605326000001,3.0
3,cup,bce,0.9767675031,3.0
3,cup,egg,0.9937507146,3.0
3,cup,hms,0.9948413559,3.0
3,cup,dem,0.9997072499,3.0
3,cup,rep,0.9944524651,2.0
3,cup,eat,0.9974461863,3.0
3,cup,dns,0.9938754113,3.0
3,cup,dnq,0.9777986871,3.0
3,cup,nsw,0.9922844185,3.0
3,cup,tip,0.9893040552,2.0
3,cup,itf,0.9877432168,3.0
3,cup,eds,0.9945148282,3.0
3,cup,cdp,0.9997982078,1.0
3,men,art,0.9993920588,3.0
3,men,air,0.9944646344,3.0
3,men,you,0.997898381,3.0
3,men,law,0.9984055659,3.0
3,men,man,0.8182659775,1.0
3,men,win,0.9817911981,2.0
3,men,san,0.9951081653,2.0
3,men,red,0.9904786562,2.0
3,men,jpg,0.9984795845,3.0
3,men,non,0.9863645263,2.0
3,men,act,0.9951023526,3.0
3,men,run,0.9874005196,2.0
3,men,per,0.9818315581,2.0
3,men,how,0.9791172219,3.0
3,men,few,0.9432734446,2.0
3,men,sea,0.9628910606,2.0
3,men,big,0.9845921069,3.0
3,men,los,0.9956900907,3.0
3,men,car,0.947703018,3.0
3,men,van,0.9965237709,2.0
3,men,bay,0.996529425,3.0
3,men,low,0.946672896,3.0
3,men,ten,0.9922576837,1.0
3,men,get,0.9948231088,2.0
3,men,lee,0.9811699291,2.0
3,men,don,0.9974190815,2.0
3,men,via,0.9852629086,3.0
3,men,sir,0.9915532597,3.0
3,men,mid,0.9545324833,2.0
3,men,iii,0.9657233991,3.0
3,men,bar,0.9953422894,3.0
3,men,com,0.9899838363,3.0
3,men,our,0.9915667668,3.0
3,men,saw,0.9881862729,3.0
3,men,put,0.882911174,3.0
3,men,too,0.9689711682,3.0
3,men,far,0.9830507859,3.0
3,men,hit,0.9845178822,3.0
3,men,tom,0.9746999397,3.0
3,men,joe,0.9806819898,3.0
3,men,met,0.9912571436,1.0
3,men,key,0.9301850559,2.0
3,men,god,0.9663718813,3.0
3,men,del,0.9840941069,2.0
3,men,era,0.9686730235,3.0
3,men,ice,0.9796512665,3.0
3,men,ran,0.9873884983,2.0
3,men,sun,0.9742873292,2.0
3,men,oil,0.9863860812,3.0
3,men,von,0.9805897063,2.0
